   40 1134    42.138
   44 1055    37.334
  108  854    32.642
  116  838    32.221
  159  833    29.615
   36  779    29.462
  191  732    27.525
   49  569    20.522
  156  475    19.258
  634  550    18.703
   35  467    17.414
 3245  404    15.992
  207  453    15.285
  250  386    14.327
  651  448    14.272
  405  337    13.027
  212  327    12.855
  833  334    12.745
  163  343    12.547
 2625  379    12.520
 6365  325    12.385
  148  310    12.280
  102  306    12.258
   27  332    12.230
 1093  354    12.153
 1100  333    11.871
  209  299    11.621
  214  311    11.570
 1302  321    11.490
  146  301    11.263
  176  270    11.151
 1878  282    11.028
 6991  296    10.826
  143  264    10.659
 2349  270    10.593
  112  326    10.577
 1143  270    10.440
 2812  271    10.369
  210  267    10.203
   30  254    10.064
 2904  253    10.054
 2850  248    9.968
 1076  292    9.787
 2896  267    9.780
10346  230    9.554
  719  274    9.445
  446  289    9.388
  680  242    9.350
 6895  257    9.329
 7170  256    9.265
    3  259    9.241
  262  214    9.034
  676  253    9.019
 2953  225    8.919
  189  207    8.874
  241  241    8.701
 1875  266    8.690
  195  272    8.678
  161  210    8.643
  174  228    8.589
13909  213    8.547
  168  209    8.498
 2189  205    8.494
 1877  226    8.470
 2314  218    8.453
 6923  225    8.424
 2880  214    8.386
 2829  228    8.184
 2893  221    8.150
  659  183    8.103
    7  230    8.087
  144  210    8.004
  901  215    7.946
 6640  213    7.917
  301  211    7.906
 1914  202    7.897
 6589  212    7.844
  229  210    7.806
 9577  198    7.740
  620  218    7.706
 6908  201    7.554
 3596  192    7.536
 1386  227    7.517
 8467  161    7.406
 2934  206    7.388
 2218  190    7.327
 2278  194    7.277
 1082  228    7.266
 2819  204    7.251
 1158  169    7.234
  637  190    7.228
  277  184    7.213
  298  172    7.165
 1168  193    7.141
 1876  210    7.140
 1880  179    7.127
 2902  167    7.115
 8946  189    7.101
  295  190    7.066
 1057  201    7.023
 9574  206    7.019
 2874  202    7.015
 6907  162    6.975
10344  178    6.973
 1304  175    6.916
 2822  172    6.886
 4841  173    6.860
 1318  192    6.834
 2815  162    6.831
10350  191    6.824
 2823  173    6.824
  638  172    6.823
  661  202    6.808
  164  172    6.751
   80  175    6.745
 2844  170    6.704
  652  171    6.678
 6933  188    6.659
 2836  166    6.655
 2811  203    6.620
  157  184    6.610
 1307  180    6.570
 2821  147    6.528
  417  190    6.526
 1138  160    6.523
 1073  153    6.516
   45  159    6.513
14294  163    6.490
   67  148    6.475
 2834  162    6.444
  424  147    6.438
 2168  168    6.432
 8308  141    6.432
  349  181    6.409
 1895  162    6.354
 2915  173    6.329
  646  172    6.319
  375  186    6.315
10375  172    6.310
 2816  178    6.307
10614  174    6.258
  736  170    6.245
  527  187    6.235
 2868  188    6.218
  208  164    6.176
  654  134    6.146
  948  175    6.133
10632  161    6.110
 3173  168    6.108
 2261  163    6.103
 1860  176    6.098
 6916  163    6.094
  686  160    6.091
 2090  151    6.082
   83  148    6.070
 1501  185    6.053
 2966  176    6.035
 2862  153    6.012
 1864  198    6.012
  149  162    6.003
  344  144    5.994
10380  161    5.993
 2929  173    5.915
 2919  153    5.895
  853  138    5.880
  636  168    5.874
  317  168    5.865
10349  144    5.832
  621  146    5.816
 2825  160    5.812
10395  132    5.811
  150  147    5.808
  679  127    5.779
  158  132    5.766
 1898  177    5.748
10342  144    5.742
  235  147    5.736
 6914  142    5.722
 1955  165    5.709
